  
       XFOIL         Version 6.99
  
 Calculated polar for: BSA                                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.346 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000   0.8391   0.00818   0.00063  -0.1861   0.4580   0.1731  18.3906  92.9096
   0.000   0.8391   0.00818   0.00063  -0.1861   0.4580   0.1731  18.3906  92.9096
   0.000   0.8391   0.00818   0.00063  -0.1861   0.4580   0.1731  18.3906  92.9096
   0.000   0.8391   0.00818   0.00063  -0.1861   0.4580   0.1731  18.3906  92.9096
   0.000   0.8391   0.00818   0.00063  -0.1861   0.4580   0.1731  18.3906  92.9096
   0.000   0.8391   0.00818   0.00063  -0.1861   0.4580   0.1731  18.3906  92.9096
   0.000   0.7367   0.01128   0.00166  -0.0826   0.2135   0.0412  33.5214  82.1244
   0.000   0.3513   0.00919  -0.00129  -0.0330   0.3605   0.3039  20.4011 104.7884
   0.000   0.4839   0.00924   0.00089  -0.0791   0.4202   0.0497  23.4297  84.9965
   0.000   1.2074   0.00971   0.00125  -0.2409   0.4620   0.0769  19.0309  83.8156
   0.000   0.2433   0.00978   0.00031  -0.0679   0.1489   0.2073  43.8753  94.6182
   0.000   0.8202   0.01367   0.00271  -0.1025   0.1182   0.0640  44.3252  89.1623
   0.000   0.8202   0.01367   0.00271  -0.1025   0.1182   0.0640  44.3252  89.1623
   0.000   0.8202   0.01367   0.00271  -0.1025   0.1182   0.0640  44.3252  89.1623
   0.000   0.8202   0.01367   0.00271  -0.1025   0.1182   0.0640  44.3252  89.1623
   0.000   0.8202   0.01367   0.00271  -0.1025   0.1182   0.0640  44.3252  89.1623
